k,x,y
"Professional, Scientific, and Technical Services",22387.21138568338,5876.0
"Professional, Scientific, and Technical Services",25118.864315095823,3425.0
"Professional, Scientific, and Technical Services",28183.82931264455,7066.0
"Professional, Scientific, and Technical Services",31622.776601683792,6607.0
"Professional, Scientific, and Technical Services",35481.33892335753,4559.0
"Professional, Scientific, and Technical Services",39810.71705534969,8659.0
"Professional, Scientific, and Technical Services",44668.359215096345,11995.0
"Professional, Scientific, and Technical Services",50118.72336272725,6215.0
"Professional, Scientific, and Technical Services",56234.13251903491,8883.0
"Professional, Scientific, and Technical Services",63095.7344480193,9554.0
"Professional, Scientific, and Technical Services",70794.57843841374,7604.0
"Professional, Scientific, and Technical Services",79432.82347242821,9516.0
"Professional, Scientific, and Technical Services",89125.0938133746,7742.0
"Professional, Scientific, and Technical Services",100000.0,11449.0
"Professional, Scientific, and Technical Services",112201.84543019629,7976.0
"Professional, Scientific, and Technical Services",125892.54117941661,6548.0
"Professional, Scientific, and Technical Services",141253.75446227554,6217.0
"Professional, Scientific, and Technical Services",158489.3192461114,4696.0
"Professional, Scientific, and Technical Services",177827.94100389228,3416.0
"Professional, Scientific, and Technical Services",199526.2314968879,4899.0
"Professional, Scientific, and Technical Services",223872.11385683378,3274.0
"Professional, Scientific, and Technical Services",251188.6431509582,1029.0
"Professional, Scientific, and Technical Services",281838.2931264455,1539.0
"Professional, Scientific, and Technical Services",316227.7660168379,696.0
"Professional, Scientific, and Technical Services",354813.3892335753,318.0
"Professional, Scientific, and Technical Services",398107.1705534969,528.0
"Professional, Scientific, and Technical Services",446683.5921509635,713.0
"Professional, Scientific, and Technical Services",501187.2336272725,1048.0
"Professional, Scientific, and Technical Services",562341.3251903491,1159.0
"Professional, Scientific, and Technical Services",630957.344480193,621.0
"Professional, Scientific, and Technical Services",707945.7843841374,552.0
Wholesale Trade,1995.2623149688789,13.0
Wholesale Trade,2238.72113856834,84.0
Wholesale Trade,2511.88643150958,40.0
Wholesale Trade,2818.382931264455,133.0
Wholesale Trade,3162.2776601683795,74.0
Wholesale Trade,3548.133892335753,63.0
Wholesale Trade,3981.0717055349733,145.0
Wholesale Trade,4466.835921509631,312.0
Wholesale Trade,5011.872336272725,87.0
Wholesale Trade,5623.413251903491,215.0
Wholesale Trade,6309.57344480193,168.0
Wholesale Trade,7079.457843841381,121.0
Wholesale Trade,7943.282347242814,262.0
Wholesale Trade,8912.509381337459,183.0
Wholesale Trade,10000.0,526.0
Wholesale Trade,11220.18454301963,383.0
Wholesale Trade,12589.254117941662,278.0
Wholesale Trade,14125.375446227554,427.0
Wholesale Trade,15848.93192461114,300.0
Wholesale Trade,17782.794100389227,398.0
Wholesale Trade,19952.62314968879,998.0
Wholesale Trade,22387.21138568338,1158.0
Wholesale Trade,25118.864315095823,720.0
Wholesale Trade,28183.82931264455,1581.0
Wholesale Trade,31622.776601683792,1574.0
Wholesale Trade,35481.33892335753,1347.0
Wholesale Trade,39810.71705534969,2316.0
Wholesale Trade,44668.359215096345,3170.0
Wholesale Trade,50118.72336272725,1657.0
Wholesale Trade,56234.13251903491,2118.0
Wholesale Trade,63095.7344480193,2057.0
Wholesale Trade,70794.57843841374,1476.0
Wholesale Trade,79432.82347242821,1703.0
Wholesale Trade,89125.0938133746,1162.0
Wholesale Trade,100000.0,1679.0
Wholesale Trade,112201.84543019629,1084.0
Wholesale Trade,125892.54117941661,724.0
Wholesale Trade,141253.75446227554,758.0
Wholesale Trade,158489.3192461114,475.0
Wholesale Trade,177827.94100389228,354.0
Wholesale Trade,199526.2314968879,584.0
Wholesale Trade,223872.11385683378,387.0
Wholesale Trade,251188.6431509582,115.0
Wholesale Trade,281838.2931264455,168.0
Wholesale Trade,316227.7660168379,50.0
Wholesale Trade,354813.3892335753,20.0
Wholesale Trade,398107.1705534969,60.0
Wholesale Trade,446683.5921509635,137.0
Wholesale Trade,501187.2336272725,134.0
Wholesale Trade,562341.3251903491,111.0
Wholesale Trade,630957.344480193,46.0
Wholesale Trade,707945.7843841374,47.0
Manufacturing,1995.2623149688789,58.0
Manufacturing,2238.72113856834,351.0
Manufacturing,2511.88643150958,143.0
Manufacturing,2818.382931264455,561.0
Manufacturing,3162.2776601683795,264.0
Manufacturing,3548.133892335753,197.0
Manufacturing,3981.0717055349733,605.0
Manufacturing,4466.835921509631,1430.0
Manufacturing,5011.872336272725,327.0
Manufacturing,5623.413251903491,910.0
Manufacturing,6309.57344480193,786.0
Manufacturing,7079.457843841381,523.0
Manufacturing,7943.282347242814,1139.0
Manufacturing,8912.509381337459,748.0
Manufacturing,10000.0,2052.0
Manufacturing,11220.18454301963,1448.0
Manufacturing,12589.254117941662,1157.0
Manufacturing,14125.375446227554,1838.0
Manufacturing,15848.93192461114,1310.0
Manufacturing,17782.794100389227,1599.0
Manufacturing,19952.62314968879,4149.0
Manufacturing,22387.21138568338,4933.0
Manufacturing,25118.864315095823,3467.0
